brand, product_name, shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TWF2OC-6GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,Free Shipping
ASUS,ASUS ROG GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
ASUS,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING Video Card,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI)| 100411NT+8GL,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600D-10M,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF3-8GC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,$3.99 Shipping


brand, product_name, shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TWF2OC-6GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,Free Shipping
ASUS,ASUS ROG GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
ASUS,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING Video Card,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI)| 100411NT+8GL,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600D-10M,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF3-8GC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,$3.99 Shipping


brand, product_name, shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060WF2OC-6GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 Black GAMING| 08G-P4-1071-KR| 8GB GDDR6| Dual HDB Fans,Free Shipping
ASUS,ASUS ROG GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
ASUS,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING Video Card,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF3-8GC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,$3.99 Shipping


brand, product_name, shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060WF2OC-6GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 Black GAMING| 08G-P4-1071-KR| 8GB GDDR6| Dual HDB Fans,Free Shipping
ASUS,ASUS ROG GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
ASUS,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING Video Card,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF3-8GC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,$3.99 Shipping


brand, product_name, shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060WF2OC-6GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 Black GAMING| 08G-P4-1071-KR| 8GB GDDR6| Dual HDB Fans,Free Shipping
ASUS,ASUS ROG GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
ASUS,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING Video Card,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF3-8GC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,$3.99 Shipping


